reader_id,stop_name
0x30218f0,Ledru-Rollin
0x3021880,Sully - Morland
0x3021840,Censier - Daubenton
0x30218e0,Bréguet - Sabin
0x3021820,Reuilly - Diderot
0x3021850,Place Monge
0x30218a0,Saint-Paul
0x3021890,Pont Marie
0x30232c0,Liberté
0x3023260,Créteil - Université
0x30232d0,Charenton - Écoles
0x3023230,Mairie de Montreuil
0x3023270,Créteil - Préfecture
0x30232f0,Maisons-Alfort - Stade
0x3023280,Saint-Mandé
0x3023240,Maisons-Alfort - Les Juilliottes
0x30232e0,École vétérinaire de Maisons-Alfort
0x3023220,Croix de Chavaux
0x3023250,Créteil - L'Échat
0x30232b0,Château de Vincennes
0x30232a0,Bérault
0x3022cc0,Jaurès
0x3022c60,Crimée
0x3022cd0,Laumière
0x3022c10,Porte de Pantin
0x3022ce0,Bolivar
0x3022cf0,Colonel Fabien
0x3022c80,Riquet
0x3022c40,Corentin Cariou
0x3022c20,Ourcq
0x3022ca0,Louis Blanc
0x3022cb0,Stalingrad
0x3022c90,La Chapelle
0x3020cc0,Europe
0x3020c60,Auber
0x3020cd0,Liège
0x3020c10,Malesherbes
0x3020c30,Villiers
0x3020c70,Havre - Caumartin
0x3020c80,Saint-Lazare
0x3020c40,Quatre-Septembre
0x3020c20,Monceau
0x3020c50,Opéra
0x3020ca0,Saint-Augustin
0x3020c90,Saint-Lazare
0x3021aa0,Michel Bizot
0x3021a10,Porte Dorée
0x3021ac0,Bel-Air
0x3021ab0,Daumesnil
0x3021a30,Porte de Charenton
0x3021a80,Dugommier
0x3021a70,Bercy
0x3023620,Porte de Vanves
0x3023690,Châtillon - Montrouge
0x3023680,Malakoff - Rue Étienne Dolet
0x3023670,Malakoff - Plateau de Vanves
0x3023450,Mairie d'Ivry
0x3023460,Le Kremlin-Bicêtre
0x3023490,Villejuif - Louis Aragon
0x3023480,Villejuif - Paul Vaillant-Couturier
0x3023430,Porte d'Ivry
0x3023440,Pierre et Marie Curie
0x3023470,Villejuif - Léo Lagrange
0x30238a0,Pont de Sèvres
0x3023820,Corentin Celton
0x3023830,Mairie d'Issy
0x3023880,Marcel Sembat
0x3023890,Billancourt
0x30224c0,Charles de Gaulle - ?~Itoile
0x3022410,Iéna
0x3022430,Alma - Marceau
0x3022470,Franklin D. Roosevelt
0x30224f0,Courcelles
0x3022480,George V
0x3022440,Miromesnil
0x30224e0,Ternes
0x30224a0,Victor Hugo
0x3022450,Saint-Philippe du Roule
0x30224b0,Argentine
0x3022490,Kléber
